Date,Open,High,Low,Close,Adj Close,Volume
2016-06-07,96.58999633789062,97.16999816894531,96.44000244140625,96.68000030517578,94.0312728881836,2394900
2016-06-08,96.6500015258789,97.98999786376953,96.56999969482422,97.98999786376953,95.30538177490234,4365200
2016-06-09,97.51000213623047,97.62999725341797,96.9800033569336,97.0199966430664,94.36192321777344,2044700
2016-06-10,96.0,96.08999633789062,94.9000015258789,95.20999908447266,92.60153198242188,4080700
2016-06-13,94.7300033569336,95.62999725341797,94.16000366210938,94.19000244140625,91.6094741821289,3082200
2016-06-14,93.87000274658203,94.33000183105469,93.3499984741211,94.11000061035156,91.53168487548828,5338200
2016-06-15,94.36000061035156,94.5,93.33999633789062,93.33999633789062,90.78275299072266,4025900
2016-06-16,92.93000030517578,94.08999633789062,92.05000305175781,94.08000183105469,91.50248718261719,4976200
2016-06-17,93.9800033569336,94.20999908447266,92.69000244140625,93.29000091552734,90.73413848876953,6941700
2016-06-20,94.5,95.18000030517578,94.25,94.3499984741211,91.76508331298828,4949500
2016-06-21,94.68000030517578,95.30000305175781,94.47000122070312,95.11000061035156,92.50428009033203,4203000
2016-06-22,95.2300033569336,95.37999725341797,94.05999755859375,94.05999755859375,91.48303985595703,2876700
2016-06-23,95.1500015258789,95.70999908447266,94.61000061035156,95.70999908447266,93.08783721923828,2992400
2016-06-24,91.4800033569336,93.12999725341797,91.13999938964844,91.47000122070312,88.96400451660156,8356800
2016-06-27,90.2699966430664,90.80000305175781,88.81999969482422,89.06999969482422,86.62974548339844,7444800
2016-06-28,90.27999877929688,90.5,89.72000122070312,90.41999816894531,87.94275665283203,4820400
2016-06-29,91.04000091552734,92.20999908447266,90.8499984741211,92.12999725341797,89.60591888427734,3987900
2016-06-30,92.61000061035156,92.73999786376953,87.58999633789062,88.05999755859375,85.64741516113281,12706800
2016-07-01,89.16000366210938,89.4800033569336,88.2699966430664,88.8499984741211,86.41577911376953,8342100
2016-07-05,88.12000274658203,89.33999633789062,87.91999816894531,88.23999786376953,85.82246398925781,7077000
2016-07-06,87.16000366210938,87.58000183105469,86.6500015258789,86.83000183105469,84.63335418701172,9412800
2016-07-07,86.94999694824219,88.31999969482422,86.94999694824219,87.80999755859375,85.58855438232422,4707200
2016-07-08,88.43000030517578,88.69000244140625,87.94000244140625,88.55999755859375,86.31959533691406,5621800
2016-07-11,89.05000305175781,89.30999755859375,88.62999725341797,88.75,86.5047836303711,5274700
2016-07-12,89.08000183105469,90.08000183105469,88.87000274658203,90.0,87.72314453125,6122200
2016-07-13,90.45999908447266,90.55999755859375,89.63999938964844,90.33999633789062,88.05455017089844,3996900
2016-07-14,91.31999969482422,91.6500015258789,90.51000213623047,91.44999694824219,89.13648223876953,4240100
2016-07-15,92.02999877929688,92.02999877929688,90.72000122070312,90.93000030517578,88.629638671875,3262400
2016-07-18,91.18000030517578,91.63999938964844,90.83999633789062,91.5999984741211,89.28267669677734,3407300
2016-07-19,91.20999908447266,92.41000366210938,91.20999908447266,92.37999725341797,90.04296112060547,3423800
2016-07-20,92.55999755859375,93.44000244140625,92.1500015258789,93.30000305175781,90.9396743774414,3794100
2016-07-21,93.0,93.66999816894531,92.02999877929688,92.45999908447266,90.12093353271484,4305900
2016-07-22,92.66000366210938,93.66000366210938,92.11000061035156,93.66000366210938,91.29057312011719,4348200
2016-07-25,93.5999984741211,93.5999984741211,92.54000091552734,93.0,90.64727020263672,3773500
2016-07-26,92.77999877929688,93.66999816894531,92.75,93.43000030517578,91.06639862060547,4469600
2016-07-27,93.52999877929688,94.30000305175781,92.75,93.75,91.3782730102539,5696800
2016-07-28,95.0,96.5,94.55999755859375,96.01000213623047,93.58110809326172,5209400
2016-07-29,96.06999969482422,96.0999984741211,95.12000274658203,95.23999786376953,92.83057403564453,4364100
2016-08-01,95.2300033569336,95.47000122070312,94.44999694824219,95.06999969482422,92.6648941040039,3512100
2016-08-02,95.02999877929688,95.38999938964844,94.5,95.25,92.84036254882812,3948600
